Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02243025


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243025;2;01/06/1968;1;17,6;48,6;26;5;1;1;0;1015,90002441406;1;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;13,8;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,4;17,6;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243025;2;01/05/1968;1;6,8;32,8;11;10;1;1;0;1015,90002441406;1;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,2;6,8;0,0;0,2;0,0;0,0;6,4;3,0;0,0;0,0;0,0;0,0;1,4;5,6;0,8;0,0;0,0;0,0;0,0;0,0;6,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/04/1968;1;32,2;130,9;2;13;1;1;0;1015,90002441406;1;1,2;32,2;0,0;9,4;11,0;31,4;0,4;0,0;0,0;0,0;0,0;0,0;3,3;4,6;0,2;0,0;3,2;0,0;0,0;0,0;20,0;10,8;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243025;2;01/03/1968;1;32,0;73,1;2;11;1;1;0;1015,90002441406;1;4,4;32,0;2,4;1,0;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;1,2;0,0;1,4;22,4;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/02/1968;1;69,0;174,9;16;14;1;1;0;1015,90002441406;1;1,8;9,8;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;69,0;3,2;0,0;1,8;3,4;0,0;5,2;0,8;0,0;43,0;24,8;0,2;11,0;0,1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2243025;2;01/01/1968;1;30,4;79,4;4;11;1;1;0;1015,90002441406;1;0,0;0,0;1,8;30,4;17,0;8,0;12,4;0,0;0,0;0,0;0,0;2,2;1,6;0,0;0,0;0,0;0,0;0,4;0,0;4,4;0,0;0,6;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/12/1967;1;25,6;136,6;30;15;1;1;0;1646,40002441406;1;0,0;0,0;0,0;0,0;23,2;1,8;0,0;0,0;5,9;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;12,0;2,2;1,2;0,0;6,7;0,0;10,8;0,0;0,0;1,6;18,1;17,5;25,6;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/11/1967;1;61,6;127,1;17;14;1;1;0;1646,40002441406;1;0,0;0,0;3,8;0,3;3,4;0,0;0,0;7,2;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;61,6;20,0;6,2;1,6;3,4;0,0;0,0;0,0;0,0;0,0;9,8;1,0;6,8;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243025;2;01/10/1967;1;17,0;50,9;30;11;1;1;0;1646,40002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;2,2;3,6;5,2;2,7;1,2;0,0;15,4;2,1;0,8;17,0;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/09/1967;1;16,2;39,5;14;10;1;1;0;1646,40002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;2,8;0,0;0,2;0,0;16,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,1;5,7;0,8;3,0;4,1;1,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243025;2;01/08/1967;1;9,8;11,8;5;2;1;1;0;1646,40002441406;1;0,0;0,0;0,0;0,0;9,8;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/07/1967;1;44,4;98,6;12;9;1;1;0;1646,40002441406;1;0,0;0,8;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;44,4;1,6;1,8;14,2;21,8;9,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
